country_name,id,owid_country,year,value,unit,category,sheet
Bangladesh,1498,580,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
China,1549,599,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
China Hong Kong SAR,2189,651,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
India,1713,657,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Indonesia,1711,656,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Japan,1732,666,1965,0.006,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Malaysia,1844,706,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
New Zealand,1861,718,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Pakistan,1864,720,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Philippines,1867,723,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Singapore,1902,741,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
South Korea,1758,673,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Sri Lanka,1785,681,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Taiwan,1979,771,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Thailand,1953,762,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Vietnam,2033,783,1965,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Canada,1540,595,1966,0.03891931031361708,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Mexico,1818,692,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
usa,1996,776,1966,1.3147555157523263,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Argentina,1474,569,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Brazil,1527,589,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Chile,1548,598,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Colombia,1590,605,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Ecuador,1619,620,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Peru,1866,722,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Trinidad & Tobago,2183,767,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Venezuela,2016,780,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Austria,1484,574,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Belgium,1487,577,1966,0.00135765035977734,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Bulgaria,1500,581,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Cyprus,1603,612,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Czech Republic,1604,613,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Denmark,1614,617,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Finland,1631,627,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
France,1640,630,1966,0.363,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Germany,1608,614,1966,0.077,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Greece,1681,644,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Hungary,1710,655,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Iceland,1725,661,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Ireland,1714,658,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Italy,1727,663,1966,0.889,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Luxembourg,1792,684,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Netherlands,1855,714,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Norway,1858,715,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Poland,1872,726,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Portugal,1880,729,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Romania,1893,735,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Slovakia,1937,753,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Spain,1628,624,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Sweden,1940,755,1966,0.011,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Switzerland,1546,597,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Turkey,1975,769,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Ukraine,1993,774,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
United Kingdom,1654,635,1966,4.575,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
USSR,2265,736,1966,0.467,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Iran,1716,659,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Iraq,1724,660,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Israel,1726,662,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Kuwait,1771,674,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Oman,1863,719,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Qatar,1890,733,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Saudi Arabia,1898,738,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
United Arab Emirates,1465,568,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Algeria,1618,619,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Egypt,1620,621,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
Morocco,1805,687,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
South Africa,2052,788,1966,0,million_tonnes_oil_equivalent,nuclear_consumption_mtoe,Nuclear Consumption - Mtoe
